Planet,Flag,l_Mp,Mp,E_Mp,e_Mp,f_Mp,Rp,E_Rp,e_Rp,f_Rp,Per,a,e,S,R1,R2,R3,R4,CHZ,OHZ,TSM,K,Mstar,Rstar,Teff,logg,Lstar,Jmag,Vmag
GJ 3293 d,,,7.6,1.05,-1.05,,2.67,,,1,48.13,0.19394,0.12,797.6,0.121,0.154,0.299,0.315,100,100,145.1,2.4,0.42,0.4,3466,,0.022,8.362,11.945
GJ 3323 c,,,2.31,0.5,-0.49,,1.28,,,1,40.54,0.1264,0.17,230.5,0.043,0.054,0.107,0.112,10,23,90.3,1.5,0.16,0.12,3159,,0.003,7.617,12.57
GJ 357 d,,,6.1,1.0,,,2.33,,,1,55.66,0.204,0.0,522.3,0.103,0.131,0.254,0.268,100,100,168.6,2.1,0.34,0.34,3505,4.94,0.016,7.337,10.91
GJ 414 A b,,,7.6,2.44,-2.19,,2.58,1.22,-0.85,,50.8,0.2324,0.45,3010.7,0.279,0.354,0.666,0.702,0,48,133.5,2.0,0.65,0.68,4120,4.65,0.119,5.764,8.31
GJ 514 b,,,5.2,0.9,-0.9,,2.16,,,1,140.43,0.422,0.45,329.2,0.169,0.214,0.411,0.434,34,38,130.9,1.1,0.51,0.5,3728,4.76,0.043,5.902,9.05
GJ 667 C c,,,3.81,1.5,-1.2,,1.73,,,1,28.14,0.125,0.02,1197.6,0.096,0.122,0.238,0.251,100,100,150.7,1.7,0.33,0.43,3350,4.69,0.014,6.848,10.602
GJ 667 C e,!,,2.54,1.6,-1.4,,1.31,,,1,62.24,0.213,0.02,412.5,0.096,0.122,0.238,0.251,100,100,11.4,0.9,0.33,0.43,3350,4.69,0.014,6.848,10.602
GJ 667 C f,!,,2.54,1.4,-1.2,,1.33,,,1,39.03,0.156,0.03,768.9,0.096,0.122,0.238,0.251,100,100,13.9,1.0,0.33,0.43,3350,4.69,0.014,6.848,10.602
GJ 682 b,,,4.4,3.7,-2.4,,1.89,,,1,17.48,0.08,0.08,426.5,0.037,0.047,0.093,0.098,100,100,,2.6,0.27,0.0,3028,,0.002,6.544,10.94
GJ 832 c,,,5.4,0.95,-0.95,,2.15,,,1,35.68,0.163,0.18,1335.9,0.132,0.167,0.325,0.343,51,100,312.6,1.8,0.45,0.5,3472,4.7,0.026,5.349,8.66
GJ 96 b,,,19.66,2.42,-2.3,,4.6,,,1,73.94,0.291,0.44,1430.1,0.243,0.307,0.588,0.621,60,76,,4.7,0.6,0.0,3785,,0.089,6.377,9.4
HAT-P-44 c,,,1271.32,444.9,-254.3,,12.88,,,1,872.2,1.752,0.494,284.5,0.617,0.782,1.399,1.476,22,24,,101.7,0.94,0.95,5295,4.46,0.64,11.729,13.225
