TIC_ID,Prot,eProt,Flare_star,Variability_Classification,Data_Release,
153949511,8.095,0.683,no,Unambiguous_Rotation,10/09/20,
153951307,nan,nan,no,Noisy_LCs,10/09/20,
153976959,nan,nan,no,Noisy_LCs,10/09/20,
154089169,nan,nan,no,Noisy_LCs,10/09/20,
154383539,nan,nan,no,Noisy_LCs,10/09/20,
154618248,7.599,1.203,no,Unambiguous_Rotation,10/09/20,
154716798,6.467,0.871,no,Unambiguous_Rotation,10/09/20,
154840461,5.329,0.302,no,Unambiguous_Rotation,10/09/20,
154872375,5.081,0.281,no,Unambiguous_Rotation,10/09/20,
155114483,nan,nan,no,Noisy_LCs,10/09/20,
156987351,nan,nan,no,Pulsation,10/09/20,
156991337,3.607,0.155,no,Unambiguous_Rotation,10/09/20,
158002130,nan,nan,no,Noisy_LCs,10/09/20,
158025009,nan,nan,no,Noisy_LCs,10/09/20,
158170594,nan,nan,no,Noisy_LCs,10/09/20,
158297421,nan,nan,no,Ambiguous_Variability,10/09/20,
158324245,nan,nan,no,Noisy_LCs,10/09/20,
158561566,nan,nan,no,Noisy_LCs,10/09/20,
158588995,nan,nan,no,Noisy_LCs,10/09/20,
158623531,nan,nan,no,Noisy_LCs,10/09/20,
158978373,nan,nan,no,Noisy_LCs,10/09/20,
159107668,nan,nan,no,Noisy_LCs,10/09/20,
159418353,nan,nan,no,Ambiguous_Variability,10/09/20,
159510109,10.045,0.587,no,Unambiguous_Rotation,10/09/20,
159951311,nan,nan,no,Noisy_LCs,10/09/20,
160045097,6.071,0.709,no,Unambiguous_Rotation,10/09/20,
160074939,2.323,0.108,no,Unambiguous_Rotation,10/09/20,
160148385,nan,nan,no,Noisy_LCs,10/09/20,
161032923,nan,nan,no,Noisy_LCs,10/09/20,
161477033,nan,nan,no,Noisy_LCs,10/09/20,
162362398,nan,nan,no,Noisy_LCs,10/09/20,
163539739,nan,nan,no,Noisy_LCs,10/09/20,
164173105,nan,nan,no,Pulsation,10/09/20,
164767175,nan,nan,no,Noisy_LCs,10/09/20,
165317334,nan,nan,no,Noisy_LCs,10/09/20,
165551882,nan,nan,no,Noisy_LCs,10/09/20,
166739520,nan,nan,no,Noisy_LCs,10/09/20,
166833457,nan,nan,no,Noisy_LCs,10/09/20,
166836920,nan,nan,no,Noisy_LCs,10/09/20,
167303382,nan,nan,no,Noisy_LCs,10/09/20,
167342439,nan,nan,no,Noisy_LCs,10/09/20,
167415965,nan,nan,no,Ambiguous_Variability,10/09/20,
