hostname,KOI,Prot,e_Prot,db
Kepler-1663,252,40.333,0.095,mcq13
Kepler-860,1481,18.632,0.021,mcq13
Kepler-1424,3093,22.065,2.262,mcq13
Kepler-1781,1982,9.147,0.005,mcq13
Kepler-1039,1988,34.921,6.985,mcq13
Kepler-1150,2225,15.844,0.022,mcq13
Kepler-855,1456,14.965,0.019,mcq13
Kepler-1358,2827,15.605,0.007,mcq13
Kepler-1765,1704,18.881,0.01,mcq13
Kepler-1771,1857,22.474,3.535,mcq13
Kepler-1259,2493,23.291,0.038,mcq13
Kepler-1404,2996,28.268,0.323,mcq13
Kepler-1105,2114,13.483,0.002,mcq13
Kepler-1680,2120,19.883,0.015,mcq13
Kepler-911,1621,18.451,0.148,mcq13
Kepler-1679,2106,20.505,0.035,mcq13
Kepler-1709,92,16.199,1.592,mcq13
Kepler-98,299,22.965,0.049,mcq13
Kepler-67,2115,10.464,0.014,mcq13
Kepler-816,1320,34.216,6.562,mcq13
Kepler-1061,2026,9.749,0.079,mcq13
Kepler-1068,2044,17.598,0.106,mcq13
Kepler-1856,2543,23.447,0.035,mcq13
Kepler-1169,2273,12.566,0.161,mcq13
Kepler-489,197,35.208,5.097,mcq13
Kepler-1088,2087,13.874,0.018,mcq13
Kepler-960,1815,18.626,0.013,mcq13
