hostname,Prot,e_Prot,KOI,KIC,TIC,GAIA,db
Kepler-1833,11.216,0.065,2367,-1,-1,-1,mcq13
Kepler-1801,11.522,0.065,2172,-1,-1,-1,mcq13
Kepler-85,23.498,0.066,2038,-1,-1,-1,mcq13
Kepler-1388,23.907,0.066,2926,-1,-1,-1,mcq13
Kepler-716,23.593,0.069,892,-1,-1,-1,mcq13
Kepler-1787,20.039,0.069,2056,-1,-1,-1,mcq13
HD 18599,8.73,0.07,-1,-1,-1,-1,nasa
Kepler-1672,11.534,0.07,1822,-1,-1,-1,mcq13
GJ 740,35.56,0.07,-1,-1,-1,-1,nasa
K2-131,9.19,0.07,-1,-1,-1,-1,nasa
Kepler-186,34.27,0.07,-1,-1,-1,-1,arm15
Kepler-294,24.371,0.073,1396,-1,-1,-1,mcq13
Kepler-415,23.126,0.074,1194,-1,-1,-1,mcq13
Kepler-1873,28.414,0.074,2735,-1,-1,-1,mcq13
Kepler-176,34.16,0.075,520,-1,-1,-1,mcq13
Kepler-46,27.859,0.075,872,-1,-1,-1,mcq13
Kepler-1395,11.871,0.075,2961,-1,-1,-1,mcq13
Kepler-246,23.175,0.076,874,-1,-1,-1,mcq13
Kepler-1728,26.369,0.076,810,-1,-1,-1,mcq13
Kepler-781,20.041,0.077,1160,-1,-1,-1,mcq13
Kepler-585,19.317,0.077,517,-1,-1,-1,mcq13
Kepler-9,16.746,0.077,377,-1,-1,-1,mcq13
Kepler-722,18.524,0.079,911,-1,-1,-1,mcq13
Kepler-1035,33.935,0.079,1979,-1,-1,-1,mcq13
Kepler-1061,9.749,0.079,2026,-1,-1,-1,mcq13
Kepler-1661,24.44,0.08,-1,-1,-1,-1,nasa
TOI-4562,3.86,0.08,-1,-1,-1,-1,nasa
NGTS-21,17.89,0.08,-1,-1,-1,-1,nasa
GJ 436,44.09,0.08,-1,-1,-1,-1,nasa
TOI-544,19.34,0.08,-1,-1,-1,-1,nasa
Kepler-438,37.04,0.08,-1,-1,-1,-1,arm15
Kepler-462,0.37,0.08,-1,-1,-1,-1,nasa
Kepler-54,34.891,0.081,886,-1,-1,-1,mcq13
Kepler-1376,26.453,0.082,2877,-1,-1,-1,mcq13
Kepler-1359,25.343,0.082,2828,-1,-1,-1,mcq13
Kepler-96,14.922,0.083,261,-1,-1,-1,mcq13
Kepler-1685,19.878,0.083,2504,-1,-1,-1,mcq13
Kepler-1798,27.266,0.084,2130,-1,-1,-1,mcq13
Kepler-1868,22.059,0.086,2686,-1,-1,-1,mcq13
Kepler-1254,23.318,0.087,2485,-1,-1,-1,mcq13
Kepler-787,36.409,0.087,1202,-1,-1,-1,mcq13
Kepler-1726,20.912,0.087,704,-1,-1,-1,mcq13
Kepler-1124,28.464,0.088,2156,-1,-1,-1,mcq13
Kepler-1285,8.667,0.088,2593,-1,-1,-1,mcq13
Kepler-1219,29.067,0.088,2390,-1,-1,-1,mcq13
Kepler-354,28.364,0.088,2045,-1,-1,-1,mcq13
Kepler-169,25.433,0.089,505,-1,-1,-1,mcq13
Kepler-1384,22.168,0.089,2910,-1,-1,-1,mcq13
Kepler-258,26.399,0.09,951,-1,-1,-1,mcq13
TOI-1448,42.28,0.09,-1,-1,-1,-1,nasa
Kepler-219,17.101,0.09,718,-1,-1,-1,mcq13
Kepler-1181,2.444,0.091,2303,-1,-1,-1,mcq13
Kepler-1902,27.227,0.091,3090,-1,-1,-1,mcq13
Kepler-1858,31.269,0.091,2553,-1,-1,-1,mcq13
Kepler-670,24.066,0.092,767,-1,-1,-1,mcq13
Kepler-682,23.408,0.092,791,-1,-1,-1,mcq13
Kepler-743,20.894,0.094,987,-1,-1,-1,mcq13
Kepler-1779,12.666,0.094,1969,-1,-1,-1,mcq13
Kepler-974,34.387,0.095,1843,-1,-1,-1,mcq13
Kepler-1663,40.333,0.095,252,-1,-1,-1,mcq13
Kepler-1288,20.304,0.096,2608,-1,-1,-1,mcq13
KOI-217,19.768,0.096,217,-1,-1,-1,mcq13
Kepler-1714,13.38,0.099,288,-1,-1,-1,mcq13
Kepler-235,38.562,0.099,812,-1,-1,-1,mcq13
TOI-778,2.58,0.1,-1,-1,-1,-1,nasa
TOI-451,5.1,0.1,-1,-1,-1,-1,nasa
GJ 9404,23.2,0.1,-1,-1,-1,-1,nasa
TOI-836,21.99,0.1,-1,-1,-1,-1,nasa
K2-240,10.8,0.1,-1,-1,-1,-1,nasa
K2-36,17.13,0.1,-1,-1,-1,-1,nasa
TOI-1807,8.8,0.1,-1,-1,-1,-1,nasa
K2-100,4.3,0.1,-1,-1,-1,-1,nasa
